loc,first_directory
https://mint.intuit.com/,root
https://mint.intuit.com/autoloans/,root
https://mint.intuit.com/balance-transfer-credit-cards/,root
https://mint.intuit.com/banking/,root
https://mint.intuit.com/banking/cds/,banking
https://mint.intuit.com/banking/checking-accounts/,banking
https://mint.intuit.com/banking/money-market/,banking
https://mint.intuit.com/banking/savings-accounts/,banking
https://mint.intuit.com/blog/,root
https://mint.intuit.com/blog/ask-farnoosh/ask-farnoosh-advice-for-saving-for-my-childs-college-education-090816/,blog
https://mint.intuit.com/blog/ask-farnoosh/how-one-mint-user-is-crushing-11k-in-debt-in-just-one-year-080117/,blog
https://mint.intuit.com/blog/bill-pay/combating-billing-errors-112916/,blog
https://mint.intuit.com/blog/bill-pay/how-to-5-secrets-to-getting-a-faster-refund-012012/,blog
https://mint.intuit.com/blog/bill-pay/how-to-effectively-manage-your-monthly-bill-payments-12132016/,blog
https://mint.intuit.com/blog/bill-pay/mints-newest-bill-pay-feature-one-customers-story-042517/,blog
https://mint.intuit.com/blog/budgeting/10-ways-to-save-money-on-halloween-decorations/,blog
https://mint.intuit.com/blog/budgeting/4-budget-tools-you-can-master-in-one-hour-or-less/,blog
https://mint.intuit.com/blog/budgeting/4-questions-to-ask-yourself-before-buying-new-clothes/,blog
https://mint.intuit.com/blog/budgeting/4-things-to-keep-in-mind-when-saving-for-a-car/,blog
https://mint.intuit.com/blog/budgeting/50-30-20/,blog
https://mint.intuit.com/blog/budgeting/5-ways-making-a-budget-can-ease-financial-stress/,blog
https://mint.intuit.com/blog/budgeting/6-budget-friendly-ways-to-support-small-businesses/,blog
https://mint.intuit.com/blog/budgeting/6-signs-your-personal-finance-software-makes-life-easier/,blog
https://mint.intuit.com/blog/budgeting/back-to-school-on-a-budget/,blog
https://mint.intuit.com/blog/budgeting/best-practice-budgeting-tips-for-freelancers/,blog
https://mint.intuit.com/blog/budgeting/budget-app-capabilities/,blog
https://mint.intuit.com/blog/budgeting/budget-friendly-sustainable-swaps/,blog
https://mint.intuit.com/blog/budgeting/budget-help-faq-from-first-time-budgeters/,blog
https://mint.intuit.com/blog/budgeting/budgeting-basics-how-to-save-on-inconsistent-income/,blog
https://mint.intuit.com/blog/budgeting/budgeting-before-buying-a-house/,blog
https://mint.intuit.com/blog/budgeting/budgeting-for-a-new-baby/,blog
https://mint.intuit.com/blog/budgeting/budgeting-for-a-new-pet/,blog
https://mint.intuit.com/blog/budgeting/budgeting-for-teens/,blog
https://mint.intuit.com/blog/budgeting/budgeting-help/,blog
https://mint.intuit.com/blog/budgeting/budgeting-tips-for-single-parents/,blog
https://mint.intuit.com/blog/budgeting/budgeting-tips-for-starting-a-micro-business/,blog
https://mint.intuit.com/blog/budgeting/budgeting-tools-which-ones-you-need-in-your-toolbox/,blog
https://mint.intuit.com/blog/budgeting/budgeting-with-a-part-time-job/,blog
https://mint.intuit.com/blog/budgeting/budget-template/,blog
https://mint.intuit.com/blog/budgeting/budget-template-which-categories-do-you-need/,blog
https://mint.intuit.com/blog/budgeting/calculadora-de-presupuesto/,blog
https://mint.intuit.com/blog/budgeting/can-your-money-management-app-do-this/,blog
https://mint.intuit.com/blog/budgeting/college-budget-template/,blog
https://mint.intuit.com/blog/budgeting/college-budget-template-free-tools-step-by-step-tutorial/,blog
https://mint.intuit.com/blog/budgeting/common-budget-mistakes-and-how-to-avoid-them/,blog
https://mint.intuit.com/blog/budgeting/creating-a-budget-3-real-life-examples-that-worked/,blog
https://mint.intuit.com/blog/budgeting/daycare-budget-template/,blog
https://mint.intuit.com/blog/budgeting/do-your-debit-and-credit-cards-encourage-budget-mistakes/,blog
https://mint.intuit.com/blog/budgeting/envelope-budgeting/,blog
https://mint.intuit.com/blog/budgeting/expert-interview-with-tiffany-aliche-of-the-budgetnista-on-financial-planning/,blog
https://mint.intuit.com/blog/budgeting/features-you-need-in-home-budget-software/,blog
https://mint.intuit.com/blog/budgeting/free-budget-tracking-template/,blog
https://mint.intuit.com/blog/budgeting/fun-money/,blog
https://mint.intuit.com/blog/budgeting/get-your-money-start-your-budget-on-a-saturday/,blog
https://mint.intuit.com/blog/budgeting/holiday-budgeting/,blog
https://mint.intuit.com/blog/budgeting/holiday-gift-survey/,blog
https://mint.intuit.com/blog/budgeting/home-budget-template/,blog
https://mint.intuit.com/blog/budgeting/household-budget-template-free-tools-step-by-step-home-budgeting-tutorial/,blog
https://mint.intuit.com/blog/budgeting/how-mint-com-can-help-you-budget-for-your-new-small-business/,blog
https://mint.intuit.com/blog/budgeting/how-soon-should-you-open-a-savings-account-for-your-kids/,blog
https://mint.intuit.com/blog/budgeting/how-to-add-coinbase-to-your-mint-com-budget-tools/,blog
https://mint.intuit.com/blog/budgeting/how-to-balance-your-life/,blog
https://mint.intuit.com/blog/budgeting/how-to-budget-money-when-spouses-have-separate-bank-accounts/,blog
https://mint.intuit.com/blog/budgeting/how-to-build-emergency-budget/,blog
https://mint.intuit.com/blog/budgeting/how-to-create-a-budget/,blog
https://mint.intuit.com/blog/budgeting/how-to-create-a-budget-planner-for-your-dream-vacation/,blog
https://mint.intuit.com/blog/budgeting/how-to-create-a-budget-schedule-that-works-for-you/,blog
https://mint.intuit.com/blog/budgeting/how-to-create-a-budget-using-mint/,blog
https://mint.intuit.com/blog/budgeting/how-to-create-a-family-budget-easy-step-by-step/,blog
https://mint.intuit.com/blog/budgeting/how-to-create-a-new-years-budget-that-sticks/,blog
https://mint.intuit.com/blog/budgeting/how-to-give-budget-help-to-someone-who-doesnt-want-it/,blog
https://mint.intuit.com/blog/budgeting/how-to-help-create-a-budget-for-aging-parents/,blog
https://mint.intuit.com/blog/budgeting/how-to-include-some-guilt-free-spending-in-your-budget/,blog
https://mint.intuit.com/blog/budgeting/how-to-keep-your-budget-in-check-this-holiday-season/,blog
https://mint.intuit.com/blog/budgeting/how-to-make-a-budget-for-home-improvement-projects/,blog
https://mint.intuit.com/blog/budgeting/how-to-make-a-budget-on-a-fixed-income/,blog
https://mint.intuit.com/blog/budgeting/how-to-manage-a-budget-when-your-spouse-is-a-spender/,blog
https://mint.intuit.com/blog/budgeting/how-to-plan-a-budget/,blog
https://mint.intuit.com/blog/budgeting/how-to-reassess-your-spending-plan/,blog
https://mint.intuit.com/blog/budgeting/how-to-save-money-as-a-freelancer-to-take-holiday-vacations/,blog
https://mint.intuit.com/blog/budgeting/how-to-stay-on-top-of-bills-when-you-have-cash-flow-issues-a-freelancers-guide/,blog
https://mint.intuit.com/blog/budgeting/how-to-stop-spending-money/,blog
https://mint.intuit.com/blog/budgeting/how-to-strike-a-balance-in-real-savings-and-extreme-couponing-to-save-time-and-money/,blog
https://mint.intuit.com/blog/budgeting/how-to-use-stimulus-check/,blog
https://mint.intuit.com/blog/budgeting/jessica-naziri-of-techsesh-gives-her-thoughts-on-the-new-ios-look/,blog
https://mint.intuit.com/blog/budgeting/living-expenses/,blog
https://mint.intuit.com/blog/budgeting/managing-your-money/,blog
https://mint.intuit.com/blog/budgeting/mint-offers-budget-tools-for-tracking-bitcoin-assets/,blog
https://mint.intuit.com/blog/budgeting/monthly-budget-template/,blog
https://mint.intuit.com/blog/budgeting/neglected-vacation-expenses/,blog
https://mint.intuit.com/blog/budgeting/new-mint-feature-highlight-budget-widget-on-ios/,blog
https://mint.intuit.com/blog/budgeting/new-tech-is-coming-heres-whats-worth-budgeting-for/,blog
https://mint.intuit.com/blog/budgeting/new-to-mint-com-heres-the-budget-software-info-you-need-to-know/,blog
https://mint.intuit.com/blog/budgeting/personal-budget-software-online-vs-traditional-2/,blog
https://mint.intuit.com/blog/budgeting/planning-for-utility-costs-in-your-monthly-budget/,blog
https://mint.intuit.com/blog/budgeting/relationships-sunk-cost-fallacy-5179/,blog
https://mint.intuit.com/blog/budgeting/saving-money/,blog
https://mint.intuit.com/blog/budgeting/self-care-on-a-budget/,blog
https://mint.intuit.com/blog/budgeting/set-mint-goals/,blog
https://mint.intuit.com/blog/budgeting/simple-budget-template/,blog
https://mint.intuit.com/blog/budgeting/social-media-purchasing-influences/,blog
https://mint.intuit.com/blog/budgeting/spending-knowledge-survey/,blog
https://mint.intuit.com/blog/budgeting/student-budget-template/,blog
https://mint.intuit.com/blog/budgeting/summer-closet-and-budget-refresh/,blog
https://mint.intuit.com/blog/budgeting/support-small-businesses/,blog
https://mint.intuit.com/blog/budgeting/tawra-kellam-on-saving-at-the-grocery-store/,blog
https://mint.intuit.com/blog/budgeting/teach-your-kids-how-to-create-a-budget-this-summer/,blog
https://mint.intuit.com/blog/budgeting/the-hidden-cost-of-convenience/,blog
https://mint.intuit.com/blog/budgeting/the-scariest-things-to-happen-to-your-budget/,blog
https://mint.intuit.com/blog/budgeting/tips/,blog
https://mint.intuit.com/blog/budgeting/trending-beauty-hacks-on-a-budget/,blog
https://mint.intuit.com/blog/budgeting/video-reviews-of-the-mint-com-budgeting-program/,blog
https://mint.intuit.com/blog/budgeting/ways-to-improve-your-personal-budget/,blog
https://mint.intuit.com/blog/budgeting/what-is-a-routing-number/,blog
https://mint.intuit.com/blog/budgeting/what-is-budget/,blog
https://mint.intuit.com/blog/budgeting/what-to-include-in-budget/,blog
https://mint.intuit.com/blog/budgeting/why-are-gas-prices-so-high/,blog
https://mint.intuit.com/blog/budgeting/why-mint-com-is-the-free-budget-planner-for-you/,blog
https://mint.intuit.com/blog/budgeting/why-you-need-a-budget-app-for-your-iphone/,blog
https://mint.intuit.com/blog/budgeting/zero-based-budgeting/,blog
https://mint.intuit.com/blog/budgeting/zero-based-budgeting-101/,blog
